time,unpooled_ts_mean_reward,pooled_ts_mean_reward,eb_ts_mean_reward
1,0.24658599,0.24563275,0.24658599
2,0.46235576,0.49274812,0.55533600
3,0.62874160,0.71164840,0.81987237
4,0.78839841,0.90798494,1.04986899
5,0.92916380,1.07307542,1.23695566
6,1.04125522,1.20124547,1.38301504
7,1.13105069,1.29754846,1.49053605
8,1.20292830,1.37134222,1.57466224
9,1.29110579,1.45474369,1.66754565
10,1.32414425,1.48192198,1.70360552
11,1.39872515,1.54472907,1.78056480
12,1.43098862,1.56833588,1.81036832
13,1.46393735,1.59445810,1.84347648
14,1.48686227,1.61197616,1.86523751
15,1.52390658,1.64154234,1.89850673
16,1.54691826,1.65871129,1.92093194
17,1.56888002,1.67117384,1.93655371
18,1.57454643,1.67223891,1.93766437
19,1.59575880,1.68447645,1.95328693
20,1.61467919,1.70045424,1.96787625
21,1.61443276,1.69480982,1.96577647
22,1.61810564,1.69139874,1.96388649
23,1.62730409,1.69321882,1.96812191
24,1.64555668,1.70766921,1.98015973
25,1.64255369,1.70412048,1.97402540
26,1.66361486,1.72171386,1.99244593
27,1.65546495,1.71270385,1.98322740
28,1.66487664,1.71940474,1.99275713
29,1.68141603,1.73263521,2.00435646
30,1.67003172,1.72175292,1.99213689
31,1.67578154,1.71603346,1.99161012
32,1.68155469,1.72293535,1.99663278
33,1.67646484,1.71439840,1.98700102
34,1.66879956,1.70715874,1.97620883
35,1.67698142,1.70922086,1.98407456
36,1.68606948,1.71929861,1.99012461
37,1.68121583,1.71063984,1.98479171
38,1.68584255,1.71181555,1.98649611
39,1.69806480,1.72317749,1.99812645
40,1.69055404,1.71583207,1.99038859
41,1.69404354,1.71825525,1.99128745
42,1.68466685,1.70653663,1.98079605
43,1.69389401,1.71674584,1.99005799
44,1.69959526,1.72297188,1.99679016
45,1.69039375,1.70753158,1.98292700
46,1.69486873,1.71120637,1.98317694
47,1.69879012,1.71718042,1.98842993
48,1.71473452,1.73451963,1.99950382
49,1.70025366,1.71620037,1.98542324
50,1.69410595,1.71006576,1.97444076
51,1.71387152,1.72985676,1.99258087
52,1.72416898,1.73291487,2.00199573
53,1.71460842,1.72949842,1.99288960
54,1.71683832,1.72489476,1.99037235
55,1.72637943,1.73504204,1.99972731
56,1.71731335,1.71565509,1.99171572
57,1.72998121,1.72979077,2.00305649
58,1.72962452,1.73089028,2.00283216
59,1.73545826,1.73590824,2.00811056
60,1.72706047,1.73137988,2.00363415
61,1.73910159,1.74561247,2.01040188
62,1.72651170,1.72593488,1.99815248
63,1.73664625,1.74007505,2.00720124
64,1.72315743,1.72059469,1.99112121
65,1.73054198,1.72773576,1.99507817
66,1.73943561,1.73517131,2.00216955
67,1.74342958,1.73677138,2.00675990
68,1.74778498,1.73795804,2.01011642
69,1.73422542,1.72731131,1.99545296
70,1.74601263,1.73427303,2.00650113
71,1.74442302,1.73661438,2.00593193
72,1.75207009,1.73857681,2.00978826
73,1.75969359,1.74443851,2.01673158
74,1.75313494,1.73328895,2.00890770
75,1.74379721,1.72842997,2.00245627
76,1.75940021,1.73731403,2.01615915
77,1.74786999,1.72676094,2.00674724
78,1.75955239,1.74047957,2.01469513
79,1.76069316,1.73755346,2.01298101
80,1.75769274,1.73481459,2.00698089
81,1.74787703,1.72689876,1.99739657
82,1.74659155,1.72237586,1.99674459
83,1.74588294,1.72190706,1.99391515
84,1.74456909,1.71375428,1.99304357
85,1.75397996,1.72792914,2.00016521
86,1.74897380,1.72059405,1.99415052
87,1.76230081,1.73509444,2.00476417
88,1.76124142,1.73644255,2.00272692
89,1.75686320,1.72795330,1.99942143
90,1.77760956,1.74831893,2.01793835
91,1.76851704,1.73475737,2.00889968
92,1.76247782,1.72702149,2.00490065
93,1.76489995,1.72989881,2.00645856
94,1.77123246,1.74272075,2.01225375
95,1.77608716,1.74170435,2.01555923
96,1.77173088,1.73527223,2.01084851
97,1.76824223,1.73293590,2.00740719
98,1.77790031,1.73853104,2.01642269
99,1.76101061,1.72170436,1.99711831
100,1.76940320,1.73383125,2.00760541
