t,unpooled,pooled
0,0.00570062,0.00570747
1,0.0113369,0.0113372
2,0.0170101,0.0170232
3,0.022662,0.0227347
4,0.0282634,0.0284
5,0.0339223,0.0340826
6,0.0394572,0.0397557
7,0.0451025,0.0454454
8,0.0507155,0.0511328
9,0.0562858,0.0567797
10,0.0618394,0.0624479
11,0.0673909,0.0681211
12,0.0729367,0.0737653
13,0.0784972,0.0794934
14,0.0840835,0.0851512
15,0.0896518,0.0907728
16,0.0951915,0.0964358
17,0.100674,0.102078
18,0.106165,0.107759
19,0.111709,0.113409
20,0.117208,0.119041
21,0.122704,0.12467
22,0.128222,0.130318
23,0.133664,0.135984
24,0.139193,0.141633
25,0.144709,0.147281
26,0.150161,0.152953
27,0.155694,0.158594
28,0.161112,0.164234
29,0.166581,0.169879
30,0.172009,0.175518
31,0.177449,0.181139
32,0.182926,0.186769
33,0.188364,0.192421
34,0.193776,0.198074
35,0.199195,0.203674
36,0.204609,0.209298
37,0.21003,0.21491
38,0.215456,0.220554
39,0.220914,0.226212
40,0.226329,0.231834
41,0.23177,0.237471
42,0.237174,0.243079
43,0.2426,0.248696
44,0.247968,0.254309
45,0.253292,0.259968
46,0.258699,0.265607
47,0.264045,0.271251
48,0.269381,0.276865
49,0.274715,0.282472
50,0.280045,0.288116
51,0.285418,0.293714
52,0.290785,0.299355
53,0.296141,0.30499
54,0.301462,0.310634
55,0.306824,0.316244
56,0.312175,0.321854
57,0.3175,0.327486
58,0.322844,0.333078
59,0.328165,0.338693
60,0.333476,0.344285
61,0.338755,0.349881
62,0.34408,0.355496
63,0.34939,0.361087
64,0.35464,0.366687
65,0.359919,0.372297
66,0.365217,0.377891
67,0.370478,0.383474
68,0.375718,0.38908
69,0.380989,0.394697
70,0.386241,0.400297
71,0.391585,0.405859
72,0.396854,0.411459
73,0.402103,0.417074
74,0.40736,0.422664
75,0.412608,0.428215
76,0.417889,0.433826
77,0.423158,0.439422
78,0.428455,0.445027
79,0.433707,0.450616
80,0.438992,0.456216
81,0.444232,0.46183
82,0.449482,0.467398
83,0.454773,0.472979
84,0.460028,0.478568
85,0.465259,0.48415
86,0.470446,0.489763
87,0.475664,0.49534
88,0.480868,0.500953
89,0.486094,0.50652
90,0.491343,0.512131
91,0.496576,0.517697
92,0.501813,0.523301
93,0.50704,0.528903
94,0.512271,0.534445
95,0.517486,0.54
96,0.522683,0.545564
97,0.527875,0.551177
98,0.533048,0.556757
99,0.538215,0.562312
100,0.543401,0.567878
101,0.548567,0.573432
102,0.553742,0.578968
103,0.558923,0.584497
104,0.564129,0.590078
105,0.569316,0.595655
106,0.574475,0.60123
107,0.57965,0.60679
108,0.584793,0.612355
109,0.589952,0.617947
110,0.595102,0.623518
111,0.600222,0.629108
112,0.605318,0.63464
113,0.610488,0.640234
114,0.615582,0.645834
115,0.620737,0.651414
116,0.625866,0.656993
117,0.630991,0.66257
118,0.636113,0.668152
119,0.641269,0.673762
120,0.646404,0.679373
121,0.651507,0.684971
122,0.656616,0.69054
123,0.661741,0.696125
124,0.666874,0.701706
125,0.671966,0.7073
126,0.677086,0.712897
127,0.682167,0.718494
128,0.687284,0.724083
129,0.692426,0.729687
130,0.69754,0.735275
131,0.702629,0.740829
132,0.707754,0.746396
133,0.712871,0.752012
134,0.717942,0.757551
135,0.723048,0.763164
136,0.728111,0.768703
137,0.733156,0.774285
138,0.738214,0.779885
139,0.743301,0.785474
140,0.748375,0.79105
141,0.753441,0.796652
142,0.758515,0.802238
143,0.76361,0.807818
144,0.768683,0.813401
145,0.773767,0.818994
146,0.778897,0.824547
147,0.78395,0.83014
148,0.789001,0.835724
149,0.794033,0.841269
150,0.799083,0.846786
151,0.804126,0.852364
152,0.809184,0.857936
153,0.814224,0.863535
154,0.819303,0.869129
155,0.82436,0.874732
156,0.8294,0.880336
157,0.834413,0.885929
158,0.839396,0.89148
159,0.844443,0.897055
160,0.849504,0.902677
161,0.854541,0.908264
162,0.859563,0.913826
163,0.864595,0.919401
164,0.869641,0.924954
165,0.874643,0.930519
166,0.879621,0.936084
167,0.88464,0.94165
168,0.889688,0.947244
169,0.894691,0.952797
170,0.899683,0.958347
171,0.904707,0.963919
172,0.909726,0.969461
173,0.914781,0.975023
174,0.919768,0.980562
175,0.924781,0.986144
176,0.929748,0.991699
177,0.934768,0.997249
178,0.939768,1.00279
179,0.944765,1.00838
180,0.949757,1.01398
181,0.954776,1.01956
182,0.959729,1.02516
183,0.96468,1.03072
184,0.969694,1.0363
185,0.974676,1.04188
186,0.979669,1.04742
187,0.984651,1.05302
188,0.989623,1.05856
189,0.994608,1.06416
190,0.999589,1.06969
191,1.00456,1.07524
192,1.00953,1.08076
193,1.01454,1.08633
194,1.0195,1.0919
195,1.0245,1.09745
196,1.02945,1.10302
197,1.03444,1.10862
198,1.03944,1.11414
199,1.04438,1.11967
